country,year,value
Afghanistan,2021,8051
Albania,2021,687.53
Algeria,2021,8509.571
American Samoa,2021,2.9
Andorra,2021,0.7562
Angola,2021,5690
Antigua & Barbuda,2021,5
Argentina,2021,43276.7597
Armenia,2021,503.72
Aruba,2021,2
Australia,2021,31650
Austria,2021,1387.4794
Azerbaijan,2021,2363
Bahamas,2021,11
Bahrain,2021,4.1
Bangladesh,2021,9468
Barbados,2021,8
Belarus,2021,5719
Belgium,2021,889.39
NA,1999,893
Belize,2021,132
Benin,2021,3400
Bermuda,2021,0.3
Bhutan,2021,100
Bolivia,2021,5119.3672
Bosnia & Herzegovina,2021,1116
Botswana,2021,262
Brazil,2021,66008.76
British Virgin Islands,2021,2
Brunei,2021,10
Bulgaria,2021,3649.5179
Burkina Faso,2021,6740
Burundi,2021,1620
Cape Verde,2021,54
Cambodia,2021,4599.1397
Cameroon,2021,7750
Canada,2021,38431
Cayman Islands,2021,0.7
Central African Republic,2021,1920
Chad,2021,5338
NA,2021,3.63
Chile,2021,1811.9
China,2021,128652
Hong Kong SAR China,2021,3
China,2021,127862
Taiwan,2021,787
Colombia,2021,4498
Comoros,2021,118
Congo - Brazzaville,2021,678
Cook Islands,2021,1.9
Costa Rica,2021,611
Côte d’Ivoire,2021,10300
Croatia,2021,936
Cuba,2021,3561.6
Cyprus,2021,120.9456
Czechia,2021,2524.272
NA,1992,5027
North Korea,2021,2545
Congo - Kinshasa,2021,15698
Denmark,2021,2384
Djibouti,2021,3.9
Dominica,2021,23
Dominican Republic,2021,1232
Ecuador,2021,2448
Egypt,2021,4031
El Salvador,2021,881
Equatorial Guinea,2021,100
Eritrea,2021,692
Estonia,2021,705
Eswatini,2021,195
Ethiopia,2021,18595
Ethiopia,1992,11305
Faroe Islands,2021,0.07
Fiji,2021,138.6
Finland,2021,2247
France,2021,18970.54
French Guiana,2021,18.82
French Polynesia,2021,28.5
Gabon,2021,495
Gambia,2021,447
Georgia,2021,439.9
Germany,2021,11860
Ghana,2021,7417.5
Greece,2021,3220.1601
Grenada,2021,7
Guadeloupe,2021,24.61
Guam,2021,8
Guatemala,2021,2737
Guinea,2021,3938
Guinea-Bissau,2021,550
Guyana,2021,449
Haiti,2021,1305
Honduras,2021,1618
Hungary,2021,4289.1993
Iceland,2021,121
India,2021,168047.948
Indonesia,2021,53600
Iran,2021,17590
Iraq,2021,5439
Ireland,2021,437
Isle of Man,2021,23.2
Israel,2021,479.5
Italy,2021,9361.4345
Jamaica,2021,188
Japan,2021,4349
Jordan,2021,281
Kazakhstan,2021,29801.7
Kenya,2021,6410
Kiribati,2021,34
Kuwait,2021,14
Kyrgyzstan,2021,1364.1
Laos,2021,1354
Latvia,2021,1371
Lebanon,2021,279.3
Lesotho,2021,433
Liberia,2021,700
Libya,2021,2050
Liechtenstein,2021,1.73
Lithuania,2021,2315.2
Luxembourg,2021,64.03
Madagascar,2021,3600
Malawi,2021,4200
Malaysia,2021,8286
Maldives,2021,4.9
Mali,2021,8491
Malta,2021,8.75
Marshall Islands,2021,7
Martinique,2021,16.91
Mauritania,2021,460
Mauritius,2021,79
Mayotte,2021,19.98
Mexico,2021,22899
Micronesia (Federated States of),2021,2
Mongolia,2021,1337.8
Montenegro,2021,14.4
Montserrat,2021,2
Morocco,2021,9291
Mozambique,2021,5950
Myanmar (Burma),2021,12500
Namibia,2021,812
Nauru,2021,0.4
Nepal,2021,2325.7
Netherlands,2021,1040
NA,2010,8
New Caledonia,2021,9.7
New Zealand,2021,690
Nicaragua,2021,1799
Niger,2021,17813
Nigeria,2021,43472
Niue,2021,3.8
North Macedonia,2021,458
Northern Mariana Islands,2021,0.17
Norway,2021,807
Oman,2021,116.22
NA,1990,32.3
Pakistan,2021,31303
Palau,2021,2.3
Palestinian Territories,2021,113.2
Panama,2021,672.316
Papua New Guinea,2021,1251
Paraguay,2021,4824
Peru,2021,6715.689
Philippines,2021,11183
Poland,2021,11458.76
Portugal,2021,1831.8118
Puerto Rico,2021,66.2
Qatar,2021,24
South Korea,2021,1547
Moldova,2021,1937
Réunion,2021,36.82
Romania,2021,8989
Russia,2021,123442
Rwanda,2021,1618.4
St. Helena,2021,4
St. Kitts & Nevis,2021,5.1
St. Lucia,2021,9.57
St. Pierre & Miquelon,2021,2
St. Vincent & Grenadines,2021,5
Samoa,2021,43
San Marino,2021,2.3
São Tomé & Príncipe,2021,42
Saudi Arabia,2021,3637
Senegal,2021,3911
Serbia,2021,2819
NA,2005,3822
Seychelles,2021,1.55
Sierra Leone,2021,1749
Singapore,2021,0.66
Slovakia,2021,1344
Slovenia,2021,233.35
Solomon Islands,2021,112
Somalia,2021,1129
South Africa,2021,12413
South Sudan,2021,2479.7
Spain,2021,16609.8164
Sri Lanka,2021,2372
Sudan,2021,21210.84
Sudan,2011,20019.2
Suriname,2021,62
Sweden,2021,2538.65
Switzerland,2021,420.6904
Syria,2021,5726.617
Tajikistan,2021,1042
Thailand,2021,22700
Timor-Leste,2021,191.4
Togo,2021,2820
Tokelau,2021,0.6
Tonga,2021,31
Trinidad & Tobago,2021,47
Tunisia,2021,4950.5
Turkey,2021,23473
Turkmenistan,2021,2000
Turks & Caicos Islands,2021,1
Tuvalu,2021,1.8
Uganda,2021,9100
Ukraine,2021,33777
United Arab Emirates,2021,91.5615
United Kingdom,2021,6055.8189
Tanzania,2021,15521.2
United States,2021,160436.8
U.S. Virgin Islands,2021,1.1
Uruguay,2021,2069.605
Russia,1991,228920
Uzbekistan,2021,4437.5
Vanuatu,2021,145
Venezuela,2021,3300
Vietnam,2021,11718
Wallis & Futuna,2021,6
Western Sahara,2021,4
Yemen,2021,1452
NA,1991,7625
Zambia,2021,3839
Zimbabwe,2021,4100
NA,2021,1579878.1365
NA,2021,293252.961
NA,2021,79113.55
NA,2021,37711
NA,2021,50046.911
NA,2021,14115
NA,2021,112266.5
NA,2021,377345.1069
NA,2021,198870.1
NA,2021,31349.316
NA,2021,6523.79
NA,2021,140601.9009
NA,2021,587038.9118
NA,2021,38645.3
NA,2021,138430.8
NA,2021,239262.548
NA,2021,126142.1997
NA,2021,44558.0641
NA,2021,288071.4869
NA,2021,197129.7492
NA,2021,19008.5689
NA,2021,37299.309
NA,2021,34633.8598
NA,2021,34169.67
NA,2021,32340
NA,2021,1656.3
NA,2021,53.87
NA,2021,119.5
NA,2021,110786.3069
NA,2021,211311.0797
NA,2021,153762.9872
NA,2021,10031.67
NA,2021,209270.057
NA,2021,301115.2387
